Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:40.523,126404670,adaptation VE,2003531,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.623,127414340,adaptation VE,3013201,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.725,128433787,adaptation VE,4032648,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.825,129432943,adaptation VE,5031804,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:40.928,130452371,adaptation VE,6051232,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:41.027,131451799,adaptation VE,7050660,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:41.130,132481666,adaptation VE,8080527,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:41.230,133481576,adaptation VE,9080437,none,0,1,5,110,100,Q5,,90,10,
30/01/2019 20:09:41.336,134528931,intervention,127792,decay,127792,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.433,135508569,intervention,1107430,decay,1107430,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.534,136518033,intervention,2116894,decay,2116894,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.636,137537214,intervention,3136075,decay,3136075,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.741,138576606,intervention,4175467,decay,4175467,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.838,139556057,intervention,5154918,decay,5154918,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:41.943,140595463,intervention,6194324,decay,6194324,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.040,141575170,intervention,7174031,decay,7174031,1,5,110,100,Q5,1,0,10.0011,
30/01/2019 20:09:42.142,142604298,intervention,8203159,decay,8203159,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.241,143593995,intervention,9192856,decay,9192856,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:42.343,144613149,intervention,10212010,decay,10212010,1,5,110,100,Q5,1,0,10,
