Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:50.562,636845533105625777,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.568,636845533105685513,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.574,636845533105745711,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.580,636845533105805450,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.586,636845533105865639,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.592,636845533105925638,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.598,636845533105985344,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.604,636845533106045540,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.610,636845533106105284,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.616,636845533106165460,Preparation,0.5932849,0,0,none,0,999,999,999,999,PE,PE,999,10.02905,none,
31/01/2019 17:41:50.622,636845533106225418,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.628,636845533106285398,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.634,636845533106345393,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.640,636845533106405340,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.646,636845533106465320,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.652,636845533106525301,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.658,636845533106585287,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.664,636845533106644969,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
31/01/2019 17:41:50.669,636845533106695176,Preparation,0.6932509,0,0,none,0,999,999,999,999,PE,PE,999,10.02453,none,
