Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real
26/01/2019 15:49:18.906,0.9511232,adaptation,0.9511232,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.82353
26/01/2019 15:49:18.908,0.9531574,adaptation,0.9531574,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.82353
26/01/2019 15:49:18.910,0.9550943,adaptation,0.9550943,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,27.82353
26/01/2019 15:49:18.937,0.9826698,adaptation,0.9826698,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.39061
26/01/2019 15:49:18.939,0.9846935,adaptation,0.9846935,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.39061
26/01/2019 15:49:18.941,0.9865932,adaptation,0.9865932,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.39061
26/01/2019 15:49:18.943,0.9885464,adaptation,0.9885464,none,0,1,5,110,100,Q3,1920 x 1080 @ 60Hz,90,30.39061
26/01/2019 15:49:18.974,1.017444,intervention,0.01744366,decay,0.01744366,0.99,4,109.26,99,Q5,1920 x 1080 @ 60Hz,89,31.13131
26/01/2019 15:49:18.976,1.021273,intervention,0.02127266,decay,0.02127266,0.99,4,109.26,99,Q5,1920 x 1080 @ 60Hz,89,31.13131
26/01/2019 15:49:18.978,1.02341,intervention,0.02340984,decay,0.02340984,0.99,4,109.26,99,Q5,1920 x 1080 @ 60Hz,89,31.13131
26/01/2019 15:49:19.005,1.049812,intervention,0.04981232,decay,0.04981232,0.98,4,108.52,98,Q5,1920 x 1080 @ 60Hz,88,30.00291
26/01/2019 15:49:19.007,1.052258,intervention,0.05225754,decay,0.05225754,0.98,4,108.52,98,Q5,1920 x 1080 @ 60Hz,88,30.00291
26/01/2019 15:49:19.009,1.054355,intervention,0.05435467,decay,0.05435467,0.98,4,108.52,98,Q5,1920 x 1080 @ 60Hz,88,30.00291
26/01/2019 15:49:19.040,1.085442,intervention,0.08544159,decay,0.08544159,0.97,4,107.78,97,Q5,1920 x 1080 @ 60Hz,88,30.36892
26/01/2019 15:49:19.042,1.087836,intervention,0.08783627,decay,0.08783627,0.97,4,107.78,97,Q5,1920 x 1080 @ 60Hz,88,30.36892
26/01/2019 15:49:19.044,1.089847,intervention,0.08984661,decay,0.08984661,0.97,4,107.78,97,Q5,1920 x 1080 @ 60Hz,88,30.36892
26/01/2019 15:49:19.046,1.091858,intervention,0.09185791,decay,0.09185791,0.97,4,107.78,97,Q5,1920 x 1080 @ 60Hz,88,30.36892
26/01/2019 15:49:19.077,1.122426,intervention,0.122426,decay,0.122426,0.96,4,107.05,96,Q5,1920 x 1080 @ 60Hz,87,27.68994
